n,heads
603,324
604,324
605,324
606,324
607,324
608,325
609,325
610,326
611,327
612,327
613,328
614,329
615,330
616,331
617,331
618,331
619,332
620,332
621,333
622,334
623,335
624,336
625,336
626,336
627,337
628,338
629,338
630,338
631,339
632,340
633,341
634,341
635,342
636,342
637,342
638,343
639,343
640,343
641,344
642,345
643,346
644,346
645,346
646,346
647,347
648,348
649,348
650,348
651,349
652,350
653,351
654,351
655,351
656,351
657,351
658,351
659,352
660,352
661,352
662,353
663,353
664,353
665,354
666,354
667,355
668,356
669,357
670,357
671,357
672,358
673,358
674,358
675,359
676,360
677,361
678,362
679,363
680,363
681,364
682,365
683,365
684,366
685,367
686,368
687,369
688,369
689,369
690,370
691,370
692,370
693,370
694,371
695,372
696,372
697,372
698,373
699,373
700,374
701,374
702,375
703,376
704,376
705,377
706,378
707,378
708,378
709,378
710,379
711,379
712,380
713,380
714,381
715,382
716,383
717,384
718,385
719,385
720,386
721,387
722,387
723,388
724,389
725,389
726,389
727,389
728,389
729,390
730,391
731,392
732,392
733,393
734,393
735,394
736,395
737,396
738,396
739,396
740,397
741,398
742,398
743,399
744,399
745,400
746,400
747,401
748,402
749,403
750,403
751,403
752,404
753,404
754,404
755,404
756,404
757,404
758,405
759,406
760,406
761,406
762,407
763,408
764,408
765,409
766,409
767,409
768,410
769,411
770,412
771,413
772,413
773,414
774,415
775,416
776,417
777,418
778,418
779,418
780,418
781,419
782,420
783,421
784,421
785,421
786,421
787,422
788,422
789,423
790,424
791,424
792,424
793,424
794,425
795,425
796,426
797,426
798,427
799,427
800,427
801,428
802,428
803,429
804,430
805,431
806,431
807,431
808,431
809,431
810,431
811,431
812,432
813,432
814,433
815,433
816,434
817,434
818,434
819,434
820,434
821,434
822,434
823,434
824,435
825,436
826,437
827,438
828,439
829,439
830,439
831,439
832,440
833,440
834,440
835,441
836,441
837,442
838,443
839,443
840,443
841,444
842,444
843,444
844,444
845,444
846,445
847,446
848,447
849,448
850,448
851,448
852,448
853,448
854,448
855,448
856,448
857,448
858,448
859,448
860,449
861,450
862,450
863,451
864,451
865,451
866,451
867,451
868,451
869,451
870,451
871,452
872,453
873,454
874,454
875,454
876,455
877,455
878,455
879,456
880,456
881,457
882,458
883,458
884,458
885,458
886,458
887,459
888,460
889,461
890,461
891,461
892,461
893,461
894,461
895,461
896,461
897,461
898,462
899,462
900,463
901,464
902,464
903,464
904,464
905,465
906,466
907,466
908,467
909,467
910,467
911,468
912,469
913,469
914,469
915,470
916,471
917,472
918,473
919,473
920,473
921,474
922,474
923,475
924,475
925,475
926,476
927,476
928,476
929,476
930,476
931,477
932,478
933,478
934,478
935,478
936,478
937,478
938,478
939,478
940,478
941,478
942,478
943,478
944,478
945,478
946,479
947,480
948,481
949,481
950,482
951,483
952,484
953,485
954,486
955,487
956,488
957,488
958,488
959,488
960,489
961,489
962,490
963,490
964,491
965,491
966,492
967,493
968,494
969,494
970,495
971,495
972,496
973,496
974,497
975,498
976,499
977,500
978,500
979,501
980,502
981,502
982,503
983,504
984,505
985,505
986,506
987,506
988,506
989,506
990,507
991,508
992,509
993,509
994,509
995,510
996,511
997,511
998,511
999,511
1000,511
1001,512
1002,512
1003,512
1004,512
1005,512
1006,513
1007,513
1008,513
1009,513
1010,513
1011,513
1012,513
1013,514
1014,514
1015,515
1016,515
1017,515
1018,515
1019,515
1020,516
1021,516
1022,517
1023,517
1024,517
1025,517
1026,517
1027,518
1028,518
1029,518
1030,518
1031,518
1032,518
1033,519
1034,519
1035,519
1036,520
1037,520
1038,520
1039,520
1040,520
1041,520
1042,521
1043,522
1044,522
1045,522
1046,522
1047,522
1048,523
1049,523
1050,524
1051,525
1052,525
1053,525
1054,525
1055,525
1056,525
1057,525
1058,525
1059,526
1060,526
1061,526
1062,527
1063,527
1064,527
1065,528
1066,528
1067,529
1068,530
1069,530
1070,530
1071,531
1072,531
1073,532
1074,533
1075,533
1076,534
1077,535
1078,536
1079,536
1080,537
1081,537
1082,537
1083,537
1084,538
1085,538
1086,539
1087,539
1088,539
1089,539
1090,539
1091,540
1092,540
1093,541
1094,541
1095,541
1096,542
1097,543
1098,544
1099,545
1100,545
1101,545
1102,546
1103,546
1104,546
1105,547
1106,547
1107,547
1108,548
1109,549
1110,549
1111,549
1112,550
1113,551
1114,551
1115,552
1116,552
1117,552
1118,552
1119,552
1120,552
1121,553
1122,554
1123,554
1124,554
1125,555
1126,556
1127,557
1128,558
1129,558
1130,559
1131,560
1132,560
1133,561
1134,562
1135,562
1136,562
1137,562
1138,562
1139,562
1140,562
1141,563
1142,563
1143,563
1144,563
1145,564
1146,564
1147,565
1148,565
1149,565
1150,566
1151,567
1152,567
1153,568
1154,568
1155,569
1156,570
1157,571
1158,572
1159,573
1160,573
1161,574
1162,574
1163,575
1164,576
1165,577
1166,578
1167,578
1168,578
1169,578
1170,578
1171,578
1172,578
1173,578
1174,578
1175,578
1176,578
1177,578
1178,579
1179,580
1180,581
1181,582
1182,583
1183,583
1184,584
1185,585
1186,586
1187,587
1188,588
1189,589
1190,590
1191,591
1192,592
1193,593
1194,593
1195,593
1196,594
1197,594
1198,594
1199,594
1200,595
1201,595
1202,596
1203,597
1204,598
1205,598
1206,599
1207,600
1208,601
1209,602
1210,603
1211,604
1212,605
1213,606
1214,606
1215,607
1216,608
1217,608
1218,608
1219,608
1220,609
1221,609
1222,609
1223,609
1224,609
1225,609
1226,610
1227,611
1228,611
1229,611
1230,611
1231,612
1232,613
1233,613
1234,614
1235,615
1236,616
1237,617
1238,617
1239,618
1240,619
1241,619
1242,619
1243,619
1244,619
1245,620
1246,620
1247,620
1248,621
1249,621
1250,621
1251,621
1252,622
1253,623
1254,624
1255,625
1256,626
1257,626
1258,627
1259,628
1260,629
1261,630
1262,630
1263,631
1264,631
1265,631
1266,632
1267,632
1268,632
1269,633
1270,634
1271,634
1272,634
1273,635
1274,636
1275,636
1276,637
1277,637
1278,637
1279,638
1280,638
1281,638
1282,638
1283,639
1284,640
1285,640
1286,641
1287,641
1288,642
1289,643
1290,644
1291,645
1292,645
1293,645
1294,645
1295,645
1296,645
1297,646
1298,647
1299,647
1300,647
1301,647
1302,647
1303,648
1304,649
1305,649
1306,649
1307,649
1308,649
1309,650
1310,650
1311,651
1312,651
1313,652
1314,652
1315,653
1316,653
1317,653
1318,653
1319,654
1320,655
1321,655
1322,655
1323,656
1324,657
1325,658
1326,658
1327,659
1328,659
1329,659
1330,660
1331,661
1332,661
1333,661
1334,661
1335,662
1336,662
1337,663
1338,664
1339,665
1340,665
1341,666
1342,666
1343,667
1344,667
1345,668
1346,669
1347,669
1348,670
1349,670
1350,671
1351,671
1352,671
1353,672
1354,673
1355,673
1356,673
1357,673
1358,673
1359,674
1360,674
1361,675
1362,676
1363,676
1364,677
1365,678
1366,679
1367,680
1368,681
1369,682
1370,682
1371,683
1372,684
1373,684
1374,684
1375,685
1376,686
1377,686
1378,687
1379,687
1380,688
1381,689
1382,689
1383,689
1384,690
1385,691
1386,691
1387,692
1388,692
1389,693
1390,694
1391,694
1392,695
1393,696
1394,696
1395,696
1396,696
1397,696
1398,696
1399,696
1400,697
1401,697
1402,698
1403,699
1404,699
1405,699
1406,700
1407,701
1408,701
1409,702
1410,703
1411,704
1412,705
1413,706
1414,706
1415,707
1416,707
1417,708
1418,709
1419,709
1420,710
1421,711
1422,711
1423,712
1424,713
1425,713
1426,714
1427,715
1428,715
1429,715
1430,716
1431,717
1432,717
1433,718
1434,718
1435,718
1436,718
1437,718
1438,718
1439,718
1440,719
1441,719
1442,719
1443,719
1444,719
1445,720
1446,720
1447,720
1448,721
1449,721
1450,721
1451,722
1452,723
1453,724
1454,725
1455,725
1456,726
1457,727
1458,727
1459,728
1460,729
1461,729
1462,729
1463,730
1464,731
1465,731
1466,731
1467,731
1468,732
1469,732
1470,733
1471,733
1472,733
1473,733
1474,733
1475,733
1476,734
1477,735
1478,736
1479,736
1480,737
1481,737
1482,737
1483,738
1484,739
1485,740
1486,741
1487,742
1488,742
1489,742
1490,743
1491,743
1492,743
1493,744
1494,745
1495,745
1496,746
1497,747
1498,748
1499,749
1500,750
1501,751
1502,751
1503,751
1504,752
1505,753
1506,753
1507,754
1508,755
1509,756
1510,756
1511,756
1512,757
1513,757
1514,758
1515,759
1516,759
1517,759
1518,760
1519,760
1520,761
1521,761
1522,761
1523,762
1524,763
1525,764
1526,764
1527,764
1528,765
1529,766
1530,767
1531,768
1532,769
1533,770
1534,770
1535,770
1536,770
1537,770
1538,771
1539,772
1540,772
1541,773
1542,774
1543,775
1544,776
1545,776
1546,776
1547,777
1548,778
1549,779
1550,780
1551,780
1552,781
1553,781
1554,782
1555,783
1556,784
1557,784
1558,785
1559,786
1560,786
1561,787
1562,788
1563,788
1564,789
1565,789
1566,790
1567,791
1568,792
1569,793
1570,793
1571,793
1572,794
1573,794
1574,795
1575,795
1576,795
1577,796
1578,796
1579,797
1580,798
1581,799
1582,799
1583,800
1584,801
1585,801
1586,801
1587,801
1588,802
1589,802
1590,803
1591,804
1592,805
1593,806
1594,806
1595,806
1596,806
1597,807
1598,808
1599,808
1600,809
1601,810
1602,811
1603,811
1604,812
1605,813
1606,814
1607,814
1608,814
1609,814
1610,814
1611,814
1612,814
1613,814
1614,814
1615,815
1616,815
1617,815
1618,815
1619,816
1620,817
1621,817
1622,818
1623,818
1624,818
1625,819
1626,819
1627,820
1628,820
1629,820
1630,820
1631,820
1632,821
1633,822
1634,822
1635,823
1636,824
1637,824
1638,825
1639,825
1640,826
1641,827
1642,828
1643,828
1644,828
1645,828
1646,829
1647,830
1648,831
1649,832
1650,833
1651,833
1652,834
1653,835
1654,835
1655,836
1656,837
1657,838
1658,839
1659,840
1660,841
1661,841
1662,841
1663,842
1664,843
1665,843
1666,843
1667,844
1668,844
1669,845
1670,845
1671,846
1672,847
1673,847
1674,848
1675,848
1676,848
1677,849
1678,850
1679,850
1680,850
1681,851
1682,852
1683,853
1684,854
1685,855
1686,856
1687,856
1688,857
1689,857
1690,858
1691,858
1692,859
1693,859
1694,859
1695,860
1696,861
1697,862
1698,862
1699,863
1700,863
1701,864
1702,864
1703,864
1704,865
1705,865
1706,865
1707,865
1708,866
1709,866
1710,867
1711,868
1712,869
1713,869
1714,870
1715,871
1716,871
1717,871
1718,872
1719,873
1720,873
1721,874
1722,875
1723,875
1724,876
1725,876
1726,877
1727,877
1728,878
1729,879
1730,879
1731,879
1732,879
1733,880
1734,881
1735,881
1736,882
1737,883
1738,883
1739,884
1740,885
1741,885
1742,885
1743,885
1744,885
1745,885
1746,885
1747,886
1748,886
1749,887
1750,888
1751,889
1752,889
1753,890
1754,890
1755,890
1756,890
1757,890
1758,890
1759,890
1760,890
1761,891
1762,891
1763,891
1764,892
1765,893
1766,894
1767,895
1768,896
1769,897
1770,898
1771,899
1772,900
1773,901
1774,901
1775,901
1776,902
1777,902
1778,902
1779,902
1780,902
1781,903
1782,904
1783,905
1784,905
1785,905
1786,906
1787,907
1788,908
1789,909
1790,910
1791,911
1792,911
1793,911
1794,912
1795,913
1796,914
1797,915
1798,915
1799,916
1800,917
1801,917
1802,917
1803,917
1804,918
1805,919
1806,919
1807,920
1808,920
1809,921
1810,921
1811,921
1812,921
1813,922
1814,922
1815,922
1816,922
1817,922
1818,922
1819,923
1820,923
1821,923
1822,923
1823,923
1824,924
1825,925
1826,926
1827,926
1828,926
1829,926
1830,927
1831,927
1832,927
1833,927
1834,928
1835,929
1836,930
1837,931
1838,932
1839,932
1840,933
1841,934
1842,934
1843,935
1844,935
1845,936
1846,936
1847,937
1848,937
1849,937
1850,937
1851,937
1852,937
1853,938
1854,938
1855,939
1856,940
1857,940
1858,940
1859,941
1860,941
1861,941
1862,942
1863,942
1864,943
1865,943
1866,943
1867,944
1868,945
1869,946
1870,947
1871,947
1872,948
1873,949
1874,950
1875,950
1876,951
1877,952
1878,952
1879,953
1880,953
1881,953
1882,953
1883,954
1884,954
1885,955
1886,956
1887,957
1888,958
1889,959
1890,960
1891,960
1892,960
1893,960
1894,961
1895,961
1896,962
1897,962
1898,963
1899,963
1900,963
1901,964
1902,965
1903,966
1904,966
1905,966
1906,966
1907,966
1908,966
1909,967
1910,968
1911,968
1912,969
1913,969
1914,970
1915,970
1916,970
1917,970
1918,971
1919,971
1920,971
1921,972
1922,972
1923,972
1924,972
1925,972
1926,973
1927,974
1928,975
1929,976
1930,976
1931,976
1932,977
1933,978
1934,979
1935,979
1936,980
1937,980
1938,981
1939,982
1940,983
1941,984
1942,984
1943,984
1944,985
1945,985
1946,986
1947,986
1948,987
1949,988
1950,989
1951,990
1952,990
1953,990
1954,990
1955,991
1956,992
1957,992
1958,993
1959,993
1960,993
1961,994
1962,995
1963,996
1964,996
1965,997
1966,998
1967,999
1968,1000
1969,1001
1970,1001
1971,1002
1972,1003
1973,1004
1974,1004
1975,1004
1976,1005
1977,1006
1978,1007
1979,1007
1980,1007
1981,1007
1982,1008
1983,1008
1984,1008
1985,1009
1986,1010
1987,1010
1988,1010
1989,1011
1990,1012
1991,1012
1992,1013
1993,1013
1994,1013
1995,1013
1996,1013
1997,1014
1998,1014
1999,1015
2000,1016
2001,1017
2002,1017
2003,1018
2004,1018
2005,1018
2006,1018
2007,1018
2008,1019
2009,1020
2010,1021
2011,1021
2012,1022
2013,1023
2014,1024
2015,1025
2016,1026
2017,1027
2018,1027
2019,1027
2020,1028
2021,1028
2022,1029
2023,1029
2024,1029
2025,1030
2026,1030
2027,1031
2028,1031
2029,1032
2030,1033
2031,1034
2032,1034
2033,1034
2034,1035
2035,1035
2036,1035
2037,1036
2038,1036
2039,1036
2040,1036
2041,1037
2042,1037
2043,1037
2044,1038
2045,1039
2046,1039
2047,1040
2048,1040
2049,1040
2050,1041
2051,1041
2052,1041
2053,1042
2054,1042
2055,1043
2056,1044
2057,1045
2058,1045
2059,1046
2060,1046
2061,1047
2062,1048
2063,1049
2064,1050
2065,1050
2066,1051
2067,1051
2068,1051
2069,1052
2070,1052
2071,1053
2072,1054
2073,1054
2074,1054
2075,1054
2076,1054
2077,1054
2078,1055
2079,1055
2080,1056
2081,1057
2082,1058
2083,1058
2084,1058
2085,1058
2086,1058
2087,1059
2088,1059
2089,1059
2090,1060
2091,1061
2092,1061
2093,1062
2094,1062
2095,1062
2096,1062
2097,1062
2098,1063
2099,1063
2100,1063
2101,1063
2102,1063
2103,1063
2104,1063
2105,1063
2106,1063
2107,1064
2108,1064
2109,1064
2110,1065
2111,1066
2112,1067
2113,1067
2114,1068
2115,1068
2116,1068
2117,1069
2118,1069
2119,1070
2120,1070
2121,1070
2122,1070
2123,1071
2124,1071
2125,1072
2126,1073
2127,1074
2128,1075
2129,1075
2130,1075
2131,1076
2132,1077
2133,1078
2134,1078
2135,1079
2136,1080
2137,1081
2138,1082
2139,1082
2140,1082
2141,1083
2142,1083
2143,1084
2144,1085
2145,1086
2146,1087
2147,1087
2148,1088
2149,1089
2150,1089
2151,1089
2152,1090
2153,1091
2154,1091
2155,1091
2156,1092
2157,1093
2158,1094
2159,1095
2160,1096
2161,1096
2162,1096
2163,1096
2164,1097
2165,1097
2166,1098
2167,1098
2168,1099
2169,1100
2170,1101
2171,1102
2172,1103
2173,1104
2174,1104
2175,1105
2176,1106
2177,1106
2178,1106
2179,1106
2180,1107
2181,1107
2182,1108
2183,1108
2184,1108
2185,1109
2186,1110
2187,1110
2188,1111
2189,1111
2190,1112
2191,1112
2192,1112
2193,1113
2194,1113
2195,1114
2196,1115
2197,1116
2198,1117
2199,1118
2200,1119
2201,1120
2202,1120
2203,1120
2204,1120
2205,1120
2206,1120
2207,1120
2208,1120
2209,1121
2210,1122
2211,1123
2212,1123
2213,1123
2214,1123
2215,1124
2216,1124
2217,1125
2218,1126
2219,1126
2220,1126
2221,1126
2222,1127
2223,1127
2224,1127
2225,1127
2226,1128
2227,1129
2228,1130
2229,1131
2230,1131
2231,1131
2232,1132
2233,1133
2234,1134
2235,1134
2236,1134
2237,1135
2238,1136
2239,1136
2240,1136
2241,1137
2242,1138
2243,1139
2244,1139
2245,1140
2246,1140
2247,1141
2248,1142
2249,1142
2250,1142
2251,1143
2252,1144
2253,1145
2254,1145
2255,1145
2256,1146
2257,1146
2258,1147
2259,1148
2260,1149
2261,1150
2262,1151
2263,1151
2264,1152
2265,1153
2266,1153
2267,1153
2268,1153
2269,1154
2270,1154
2271,1154
2272,1155
2273,1155
2274,1156
2275,1157
2276,1158
2277,1158
2278,1159
2279,1160
2280,1160
2281,1160
2282,1160
2283,1161
2284,1162
2285,1163
2286,1163
2287,1163
2288,1164
2289,1164
2290,1165
2291,1166
2292,1167
2293,1167
2294,1168
2295,1168
2296,1169
2297,1169
2298,1170
2299,1171
2300,1171
2301,1171
2302,1172
2303,1173
2304,1174
2305,1174
2306,1175
2307,1176
2308,1177
2309,1177
2310,1177
2311,1178
2312,1178
2313,1179
2314,1180
2315,1181
2316,1181
2317,1181
2318,1182
2319,1182
2320,1183
2321,1183
2322,1183
2323,1184
2324,1185
2325,1185
2326,1185
2327,1186
2328,1186
2329,1186
2330,1186
2331,1187
2332,1188
2333,1188
2334,1189
2335,1189
2336,1189
2337,1189
2338,1190
2339,1190
2340,1191
2341,1192
2342,1193
2343,1193
2344,1193
2345,1193
2346,1193
2347,1193
2348,1193
2349,1194
2350,1194
2351,1194
2352,1195
2353,1195
2354,1196
2355,1197
2356,1198
2357,1199
2358,1200
2359,1200
2360,1200
2361,1201
2362,1201
2363,1202
2364,1202
2365,1202
2366,1203
2367,1204
2368,1205
2369,1206
2370,1207
2371,1208
2372,1209
2373,1209
2374,1210
2375,1210
2376,1210
2377,1211
2378,1211
2379,1211
2380,1211
2381,1212
2382,1212
2383,1213
2384,1213
2385,1213
2386,1214
2387,1215
2388,1215
2389,1216
2390,1217
2391,1218
2392,1219
2393,1220
2394,1221
2395,1222
2396,1223
2397,1224
2398,1225
2399,1225
2400,1225
2401,1226
2402,1227
2403,1228
2404,1228
2405,1228
2406,1229
2407,1229
2408,1229
2409,1230
2410,1230
2411,1231
2412,1231
2413,1232
2414,1232
2415,1233
2416,1234
2417,1235
2418,1235
2419,1235
2420,1236
2421,1237
2422,1237
2423,1238
2424,1239
2425,1239
2426,1239
2427,1239
2428,1240
2429,1240
2430,1240
2431,1240
2432,1240
2433,1240
2434,1241
2435,1242
2436,1243
2437,1243
2438,1243
2439,1244
2440,1245
2441,1245
2442,1245
2443,1245
2444,1246
2445,1247
2446,1247
2447,1247
2448,1248
2449,1249
2450,1249
2451,1250
2452,1251
2453,1251
2454,1252
2455,1252
2456,1253
2457,1253
2458,1253
2459,1253
2460,1254
2461,1254
2462,1254
2463,1255
2464,1256
2465,1256
2466,1256
2467,1256
2468,1256
2469,1256
2470,1256
2471,1256
2472,1257
2473,1258
2474,1259
2475,1259
2476,1259
2477,1259
2478,1259
2479,1259
2480,1260
2481,1261
2482,1262
2483,1262
2484,1263
2485,1263
2486,1264
2487,1264
2488,1265
2489,1265
2490,1265
2491,1266
2492,1267
2493,1268
2494,1268
2495,1268
2496,1269
2497,1270
2498,1271
2499,1272
2500,1272
2501,1272
2502,1272
2503,1273
2504,1274
2505,1275
2506,1276
2507,1276
2508,1277
2509,1278
2510,1278
2511,1278
2512,1279
2513,1279
2514,1280
2515,1281
2516,1282
2517,1282
2518,1282
2519,1283
2520,1283
2521,1284
2522,1285
2523,1285
2524,1286
2525,1286
2526,1287
2527,1287
2528,1288
2529,1288
2530,1288
2531,1289
2532,1289
2533,1290
2534,1290
2535,1290
2536,1291
2537,1291
2538,1292
2539,1292
2540,1293
2541,1293
2542,1294
2543,1294
2544,1294
2545,1295
2546,1295
2547,1295
2548,1296
2549,1297
2550,1298
2551,1299
2552,1299
2553,1299
2554,1299
2555,1299
2556,1300
2557,1301
2558,1302
2559,1303
2560,1304
2561,1304
2562,1305
2563,1306
2564,1307
2565,1307
2566,1308
2567,1309
2568,1310
2569,1310
2570,1311
2571,1312
2572,1312
2573,1313
2574,1313
2575,1313
2576,1313
2577,1314
2578,1314
2579,1314
2580,1314
2581,1315
2582,1315
2583,1316
2584,1316
2585,1317
2586,1318
2587,1319
2588,1320
2589,1320
2590,1321
2591,1321
2592,1321
2593,1321
2594,1322
2595,1323
2596,1324
2597,1324
2598,1325
2599,1325
2600,1325
2601,1326
2602,1327
2603,1328
2604,1328
2605,1328
2606,1328
2607,1329
2608,1330
2609,1331
2610,1331
2611,1332
2612,1332
2613,1332
2614,1332
2615,1332
2616,1333
2617,1334
2618,1334
2619,1334
2620,1335
2621,1336
2622,1336
2623,1336
2624,1337
2625,1338
2626,1338
2627,1338
2628,1338
2629,1339
2630,1339
2631,1340
2632,1341
2633,1342
2634,1342
2635,1342
2636,1343
2637,1344
2638,1344
2639,1344
2640,1344
2641,1345
2642,1346
2643,1346
2644,1346
2645,1347
2646,1347
2647,1348
2648,1348
2649,1348
2650,1349
2651,1349
2652,1349
2653,1349
2654,1349
2655,1350
2656,1350
2657,1350
2658,1351
2659,1352
2660,1352
2661,1352
2662,1352
2663,1353
2664,1354
2665,1354
2666,1354
2667,1355
2668,1356
2669,1356
2670,1356
2671,1356
2672,1356
2673,1356
2674,1356
2675,1357
2676,1357
2677,1358
2678,1359
2679,1360
2680,1361
2681,1362
2682,1362
2683,1363
2684,1363
2685,1363
2686,1363
2687,1363
2688,1363
2689,1363
2690,1364
2691,1365
2692,1366
2693,1367
2694,1368
2695,1368
2696,1368
2697,1368
2698,1369
2699,1369
2700,1369
2701,1369
2702,1369
2703,1370
2704,1371
2705,1371
2706,1371
2707,1371
2708,1371
2709,1372
2710,1373
2711,1373
2712,1374
2713,1374
2714,1374
2715,1375
2716,1376
2717,1376
2718,1376
2719,1377
2720,1378
2721,1378
2722,1379
2723,1380
2724,1380
2725,1381
2726,1381
2727,1382
2728,1383
2729,1384
2730,1385
2731,1385
2732,1385
2733,1386
2734,1387
2735,1387
2736,1388
2737,1388
2738,1389
2739,1390
2740,1391
2741,1391
2742,1392
2743,1393
2744,1394
2745,1395
2746,1396
2747,1396
2748,1397
2749,1398
2750,1399
2751,1399
2752,1400
2753,1400
2754,1400
2755,1401
2756,1402
2757,1402
2758,1402
2759,1403
2760,1404
2761,1404
2762,1404
2763,1404
2764,1405
2765,1406
2766,1407
2767,1408
2768,1408
2769,1409
2770,1409
2771,1410
2772,1411
2773,1412
2774,1412
2775,1413
2776,1414
2777,1415
2778,1415
2779,1416
2780,1416
2781,1417
2782,1417
2783,1418
2784,1419
2785,1419
2786,1420
2787,1421
2788,1421
2789,1421
2790,1422
2791,1423
2792,1423
2793,1424
2794,1424
2795,1424
2796,1425
2797,1425
2798,1426
2799,1427
2800,1428
2801,1428
2802,1428
2803,1429
2804,1430
2805,1431
2806,1431
2807,1431
2808,1432
2809,1433
2810,1434
2811,1435
2812,1436
2813,1436
2814,1436
2815,1436
2816,1437
2817,1437
2818,1437
2819,1438
2820,1438
2821,1438
2822,1439
2823,1439
2824,1440
2825,1441
2826,1441
